1.00_10,1.00_20,1.00_40,1.00_60,2.80_10,2.80_20,2.80_40,2.80_60,3.00_10,3.00_20,3.00_40,3.00_60,3.50_10,3.50_20,3.50_40,3.50_60,4.00_10,4.00_20,4.00_40,4.00_60
29,124,328,347,82,420,1599,2644,72,498,1930,3195,278,681,1234,1852,193,276,465,497
34,80,304,313,76,407,1445,2450,68,441,1814,3028,270,646,1146,1765,222,245,468,527
29,104,272,281,64,373,1366,2240,80,486,1760,2882,237,617,1116,1709,217,256,471,490
16,95,237,241,75,367,1291,2267,67,402,1697,2682,242,594,1051,1680,206,238,439,473
21,64,219,250,66,319,1199,2111,49,364,1573,2614,226,603,1007,1696,190,270,431,469
28,66,186,219,64,320,1141,1981,60,375,1549,2510,212,545,967,1580,177,261,442,499
17,68,187,155,52,279,1174,1814,43,355,1414,2339,196,542,1034,1536,206,257,402,497
16,49,149,171,51,267,1008,1732,51,329,1322,2240,185,511,967,1474,183,253,414,443
21,39,142,148,38,247,946,1659,41,296,1249,2073,187,514,958,1483,179,208,393,406
14,40,132,163,40,241,930,1548,39,286,1227,2045,160,540,882,1433,182,220,418,426
13,48,134,130,25,224,869,1420,36,268,1201,1892,165,512,903,1366,166,191,402,445
12,47,114,133,34,220,850,1359,34,239,1113,1820,139,508,886,1344,150,234,384,435
6,37,98,101,35,201,797,1274,22,228,1016,1759,155,490,871,1335,149,189,374,446
4,35,84,97,25,179,728,1256,33,223,962,1624,158,453,859,1318,157,179,374,394
6,42,85,77,29,181,694,1128,28,194,879,1545,128,418,795,1300,151,216,375,408
4,29,74,88,24,181,654,1068,30,209,904,1463,120,420,872,1246,156,217,354,425
5,19,72,76,23,150,643,1017,26,175,876,1383,102,397,734,1229,154,185,373,395
8,28,69,47,21,132,560,962,29,194,856,1391,129,448,693,1220,117,182,360,377
4,23,75,64,15,135,592,880,14,141,795,1268,94,367,718,1145,146,160,356,394
7,24,60,58,12,116,485,839,19,162,739,1227,115,371,697,1187,135,165,342,393
4,15,40,51,20,127,530,783,13,155,699,1170,83,359,731,1149,117,191,339,394
6,9,53,43,15,120,465,802,18,149,665,1122,81,378,726,1084,118,175,364,401
2,19,46,40,17,101,446,700,13,135,627,1010,87,358,675,1095,124,163,327,407
1,13,37,41,16,100,425,649,15,129,614,990,84,330,654,1053,125,145,323,335
2,13,31,25,8,93,406,661,10,137,543,999,70,303,684,1033,117,163,310,370
3,14,21,28,14,86,365,621,12,127,586,914,69,330,637,1021,126,150,320,392
5,12,32,26,7,84,325,531,11,93,505,846,80,291,630,1021,113,166,322,358
2,4,28,33,7,78,292,497,7,84,493,837,59,328,585,947,109,156,323,331
1,18,24,29,15,84,316,514,8,101,450,784,53,287,568,962,97,134,273,351
0,5,22,14,5,84,311,488,16,75,428,778,50,309,571,932,107,148,302,365
2,6,25,23,7,66,256,464,8,95,400,736,61,310,538,866,112,142,308,322
3,12,21,17,7,52,242,422,6,81,405,664,57,294,550,911,101,127,271,312
0,2,12,14,5,52,214,417,7,90,366,633,59,264,541,855,99,126,293,288
0,5,15,17,6,62,207,372,5,69,356,587,51,305,525,802,89,161,289,336
0,5,11,10,5,48,211,372,6,87,369,584,41,252,537,801,88,135,266,303
0,0,7,10,6,40,226,322,8,68,361,550,36,253,495,787,105,120,272,336
