1.00_10,1.00_20,1.00_40,1.00_60,2.80_10,2.80_20,2.80_40,2.80_60,3.00_10,3.00_20,3.00_40,3.00_60,3.50_10,3.50_20,3.50_40,3.50_60,4.00_10,4.00_20,4.00_40,4.00_60
142333.20055798558,261597.03659412547,506461.6543155856,827409.1978036563,158849.62921978836,255488.62255035335,386945.12184426957,528393.0125056156,133928.81482710468,206111.13418321178,267810.27714116196,302800.7699923942,53698.53571933312,31762.43706396626,29309.149521983752,30602.47131616372,2818.1040708017754,3097.37432779721,2312.0594622594567,2389.746321260379
92423.13305959107,164743.1650312683,286797.7278591235,411371.7684244104,111081.46132458725,178852.41811112693,268358.4102006612,365298.1298955096,99584.89989681076,154222.16482672503,201696.57672564022,229618.22005143596,45087.74184253652,26810.173426383517,25286.576794663633,26734.03611649135,2578.7158047672765,2704.074846790862,2169.9450073966373,2246.811233672538
72272.911149257,128184.19997303846,219667.91824608756,306547.84341520723,81754.16147963985,130647.75204728257,194593.74580427972,264196.077856121,76189.74294040672,118546.1661253682,156302.5710097399,179400.0751260519,38435.64747706626,22970.17019623726,21979.665605552178,23529.396335265264,2369.332263162897,2450.972632935803,2042.2382192974774,2117.4096916284966
57980.18989335858,102851.64577082897,176142.38185598765,243375.32616686274,62098.81580767205,98983.61106125335,146976.81847850455,199179.96510450292,59642.601095328944,93283.03701129227,124245.31840674247,143971.25609117743,33134.33653793138,19918.71997081284,19246.642046316614,20862.403070741984,2185.3074066346885,2266.6571433633057,1927.2409853949323,2000.0964950308112
46776.15733413777,83191.40723022906,142864.26379560702,196082.92367002263,48194.98082448142,77260.15472523155,114986.46664331676,155711.99703267502,47534.47884322562,74867.49653007739,100959.4510555564,118257.63270928603,28800.599421760304,17439.300348325254,16975.01271141199,18631.631934816756,2022.7777098208285,2118.1823788909164,1823.46275336911,1893.5849597350912
37872.518157296974,67675.98055648766,116783.02753572352,159496.18849143403,38031.16572023105,61742.34423955098,92614.18610961999,125503.00543049994,38414.38909862761,61075.72207925663,83583.67731392007,99072.14747958156,25186.720522901887,15385.268795246333,15075.424071232399,16755.49353001896,1878.5266371763846,1990.2014145684332,1729.5949506226684,1796.7294304626766
30771.16499778741,55363.41177215708,96178.36869073783,130892.23852145195,30437.255402132367,50261.983696048774,76366.48679741859,103729.64032115249,31381.531265150552,50495.29130892332,70294.86406147812,84383.36092471707,22127.587023099863,13655.765854560153,13476.816717806092,15168.313369788377,1749.872793666489,1875.4294287599384,1644.4885622277507,1708.5097252168339
25091.933122500326,45547.42623748207,79793.42608617658,108336.62486980589,24667.702546498404,41520.00914460038,64165.06169998538,87514.56326139279,25857.029232333654,42209.530613619034,59908.34526335712,72873.32663127687,19509.2069185076,12180.123653504268,12122.60090368638,13817.188889733065,1634.5776037473497,1770.2839917639512,1567.1344772019468,1628.017297805986
20537.41318306231,37684.397342485565,66676.00633450378,90394.95542946199,20220.012076278115,34708.792850034195,54738.37827167393,75090.7606970636,21454.9188400603,35608.60905566061,51636.85875010569,63669.24496549505,17249.863349058305,10907.754330582457,10967.637635735962,12659.469371190686,1530.7690988832805,1672.8914673628465,1496.6462611665875,1554.442928655297
16874.082460629077,31354.04773840293,56100.40130724614,75995.6357360866,16744.397677298566,29305.62526528086,47282.86019138072,65337.749964537084,17908.250848103573,30275.7297658576,44944.22136078212,56179.6995430892,15288.741743659131,9801.571856637256,9975.855194667653,11660.735195769033,1436.8789932454947,1582.174816540199,1432.2450556825663,1487.065775060629
13918.324619706666,26230.769959686702,47511.94531007936,64334.88963561357,13992.717320124337,24958.20409360033,41272.4428112033,57520.96366599203,15026.003979191786,25917.95747438611,39455.764083182556,49994.00117721052,13578.98875184646,8833.694545649922,9118.366915432658,10793.177374305436,1351.5907215482425,1497.4356802047757,1373.2463415823593,1425.2436306943146
11525.58227331565,22061.77461537926,40485.50761510993,54807.32961430235,11786.720661340463,21419.92311579074,36350.164701944595,51142.90888446382,12667.381193835661,22323.69067310493,34902.9177187252,44819.74822657049,12083.41025950842,7982.621789088785,8371.9844226489,10034.297951096727,1273.7965206256426,1418.1624184042,1319.048336066647,1368.4042607664092
9581.893106814936,18650.351051966736,34694.20785671412,46954.85246602425,9997.092078599379,18512.385135381053,32265.411726599195,45856.400362680586,10726.039064208986,19336.13101471211,31088.46170318561,40443.63973800161,10771.750219220947,7231.365582225034,7718.0428776309,9365.867640341636,1202.5619725332228,1343.9414769938137,1269.1218217749652,1316.0376940057924
7997.279371968876,15843.030367529696,29885.805705940897,40428.96343425513,8529.149989944914,16103.005758058971,28836.796165939773,41412.704217015336,9120.090383527102,16836.43169542335,27864.368228624844,36706.52517587274,9618.924314094074,6566.202068826538,7141.472427444092,8773.089680806595,1137.0967042023772,1274.4160355287936,1223.0012309673366,1267.689365755324
6700.582306425334,13519.73426719198,25864.86806164161,34962.96748091212,7312.912088374333,14091.141540463226,25929.608567132902,37629.64115036576,7785.536790904056,14732.761609254962,25117.39776706048,33487.24136205874,8603.837089730434,5975.827151622399,6630.063951760202,8243.929017395603,1076.7301673172074,1209.266319035898,1180.276829801919,1222.954018154352
5635.423620447407,11586.209749294556,22479.288438277326,30351.416226555604,6296.12494099783,12399.153439842848,23441.69040305583,34371.34046147707,6671.795418736396,12953.032595278468,22759.5233469087,30691.929504614953,7708.561303410626,5450.776695153009,6173.888168640976,7768.574032021257,1020.8916106431591,1148.19986270877,1140.5878668427777,1181.4702737705938
4757.046379827245,9968.214392355694,19610.086201327234,26434.893545133462,5439.343348156334,10966.416574583132,21294.276349059306,31534.967817361478,5738.545356100343,11439.932207262187,20721.408605290457,28246.814375864673,6917.746870206708,4983.021093044419,5764.835807466402,7339.00454965409,969.0935125429995,1090.9463740923875,1103.6165667153462,1142.9158082842446
