,equation,energy,concentration,exponent,value
752,TED,3.50kT,10然,tau3,3.8817311737309357
753,TED,3.50kT,20然,tau3,4.264204032238023
754,TED,3.50kT,40然,tau3,6.208313984236708
755,TED,3.50kT,60然,tau3,6.520037723172697
756,TED,4.00kT,10然,tau3,7.187071714915252
757,TED,4.00kT,20然,tau3,3.277036093094842
758,TED,4.00kT,40然,tau3,9.583746733161872
759,TED,4.00kT,60然,tau3,10.540846962964512
760,QED,1.00kT,10然,tau3,2.408578492624449
761,QED,1.00kT,20然,tau3,4.406462840049802
762,QED,1.00kT,40然,tau3,4.995968198385317
763,QED,1.00kT,60然,tau3,4.1828162505294895
764,QED,2.80kT,10然,tau3,4.030398690240537
765,QED,2.80kT,20然,tau3,3.885134667160493
766,QED,2.80kT,40然,tau3,4.546484182398714
767,QED,2.80kT,60然,tau3,4.638564128224054
768,QED,3.00kT,10然,tau3,6.466523223277556
769,QED,3.00kT,20然,tau3,6.865135223852692
770,QED,3.00kT,40然,tau3,4.330389997774635
771,QED,3.00kT,60然,tau3,4.413336821994954
772,QED,3.50kT,10然,tau3,8.29037076425559
773,QED,3.50kT,20然,tau3,8.85986499120666
774,QED,3.50kT,40然,tau3,10.089988299212873
775,QED,3.50kT,60然,tau3,10.22384589855418
776,QED,4.00kT,10然,tau3,20.02551618184445
777,QED,4.00kT,20然,tau3,11.38905535944859
778,QED,4.00kT,40然,tau3,31.395348744444814
779,QED,4.00kT,60然,tau3,14.021149328117382
780,PED,1.00kT,10然,tau3,5.632882925167074
781,PED,1.00kT,20然,tau3,4.406460770982793
782,PED,1.00kT,40然,tau3,4.995917200370998
783,PED,1.00kT,60然,tau3,4.269858888300778
784,PED,2.80kT,10然,tau3,4.033813754252064
785,PED,2.80kT,20然,tau3,3.886030913417116
786,PED,2.80kT,40然,tau3,4.546224138969069
787,PED,2.80kT,60然,tau3,6.583906144545826
788,PED,3.00kT,10然,tau3,6.465287347813705
789,PED,3.00kT,20然,tau3,6.865132427402572
790,PED,3.00kT,40然,tau3,4.331334128935991
791,PED,3.00kT,60然,tau3,4.413423552817633
792,PED,3.50kT,10然,tau3,8.28824403602701
793,PED,3.50kT,20然,tau3,16.10628163979117
794,PED,3.50kT,40然,tau3,11.91011677171387
795,PED,3.50kT,60然,tau3,29.0346051043465
796,PED,4.00kT,10然,tau3,21.31846185607461
797,PED,4.00kT,20然,tau3,27.725571030011693
798,PED,4.00kT,40然,tau3,31.399201457761464
799,PED,4.00kT,60然,tau3,49.81543064375522
900,QED,1.00kT,10然,coeff4,173380.58244720142
901,QED,1.00kT,20然,coeff4,886058.142976252
902,QED,1.00kT,40然,coeff4,2117252.5052105435
903,QED,1.00kT,60然,coeff4,4830354.914283928
904,QED,2.80kT,10然,coeff4,1571399965.9138482
905,QED,2.80kT,20然,coeff4,2039445168.30837
906,QED,2.80kT,40然,coeff4,188012.7137880753
907,QED,2.80kT,60然,coeff4,251949.70793040315
908,QED,3.00kT,10然,coeff4,67828.62333117267
909,QED,3.00kT,20然,coeff4,121019.7994347396
910,QED,3.00kT,40然,coeff4,1077355241.518077
911,QED,3.00kT,60然,coeff4,36869.79912713902
912,QED,3.50kT,10然,coeff4,11170.939584349331
913,QED,3.50kT,20然,coeff4,7208.973490555733
914,QED,3.50kT,40然,coeff4,10014.05967789635
915,QED,3.50kT,60然,coeff4,9911.25358895102
916,QED,4.00kT,10然,coeff4,947.7671362793816
917,QED,4.00kT,20然,coeff4,1550.74541910734
918,QED,4.00kT,40然,coeff4,923.1091323093674
919,QED,4.00kT,60然,coeff4,498.2875697520522
920,PED,1.00kT,10然,coeff4,179828.59411377253
921,PED,1.00kT,20然,coeff4,443880.9501286285
922,PED,1.00kT,40然,coeff4,1064727.6403483602
923,PED,1.00kT,60然,coeff4,3574255.665352249
924,PED,2.80kT,10然,coeff4,64029.10421315715
925,PED,2.80kT,20然,coeff4,107952.83925883545
926,PED,2.80kT,40然,coeff4,129162.90998546874
927,PED,2.80kT,60然,coeff4,392089.3027732176
928,PED,3.00kT,10然,coeff4,39418.36051554118
929,PED,3.00kT,20然,coeff4,61533.60528892912
930,PED,3.00kT,40然,coeff4,96564.51959186784
931,PED,3.00kT,60然,coeff4,100377.3574436622
932,PED,3.50kT,10然,coeff4,18590.965336018628
933,PED,3.50kT,20然,coeff4,23533.610228058584
934,PED,3.50kT,40然,coeff4,14066.363563881288
935,PED,3.50kT,60然,coeff4,17765.759503496574
936,PED,4.00kT,10然,coeff4,1025.739794560492
937,PED,4.00kT,20然,coeff4,1782.3069026364265
938,PED,4.00kT,40然,coeff4,521.241741695492
939,PED,4.00kT,60然,coeff4,1209.8483494456498
1040,QED,1.00kT,10然,tau4,2.4085921157683607
1041,QED,1.00kT,20然,tau4,2.3656731389377996
1042,QED,1.00kT,40然,tau4,2.3854636537075513
1043,QED,1.00kT,60然,tau4,2.3695340187592677
1044,QED,2.80kT,10然,tau4,2.0790090353017443
1045,QED,2.80kT,20然,tau4,2.077224690515568
1046,QED,2.80kT,40然,tau4,3.3107457122238646
1047,QED,2.80kT,60然,tau4,3.281741939007822
1048,QED,3.00kT,10然,tau4,3.657300787839641
1049,QED,3.00kT,20然,tau4,3.855483215202899
1050,QED,3.00kT,40然,tau4,2.0806952888108023
1051,QED,3.00kT,60然,tau4,2.9795383839444174
1052,QED,3.50kT,10然,tau4,3.731587991419866
1053,QED,3.50kT,20然,tau4,3.610150381996832
1054,QED,3.50kT,40然,tau4,4.946303847991472
1055,QED,3.50kT,60然,tau4,4.822806805222704
1056,QED,4.00kT,10然,tau4,7.033889806331513
1057,QED,4.00kT,20然,tau4,2.6056226747700175
1058,QED,4.00kT,40然,tau4,8.9902830709357
1059,QED,4.00kT,60然,tau4,3.2944379773098627
1060,PED,1.00kT,10然,tau4,2.4010178029546214
1061,PED,1.00kT,20然,tau4,2.365674693140071
1062,PED,1.00kT,40然,tau4,2.3854611405355017
1063,PED,1.00kT,60然,tau4,2.394514444767257
1064,PED,2.80kT,10然,tau4,4.033834210525092
1065,PED,2.80kT,20然,tau4,3.8860093474979247
1066,PED,2.80kT,40然,tau4,4.546212541243657
1067,PED,2.80kT,60然,tau4,4.322439986770698
1068,PED,3.00kT,10然,tau4,3.65732086467111
1069,PED,3.00kT,20然,tau4,3.8555603654186013
1070,PED,3.00kT,40然,tau4,4.331393837150396
1071,PED,3.00kT,60然,tau4,4.413466942543782
1072,PED,3.50kT,10然,tau4,8.28811614498549
1073,PED,3.50kT,20然,tau4,8.423274152357573
1074,PED,3.50kT,40然,tau4,6.314641979748991
1075,PED,3.50kT,60然,tau4,9.743670311796905
1076,PED,4.00kT,10然,tau4,8.03396770250145
1077,PED,4.00kT,20然,tau4,11.481632000479554
1078,PED,4.00kT,40然,tau4,31.391174955060382
1079,PED,4.00kT,60然,tau4,13.47046063873257
1200,PED,1.00kT,10然,coeff5,179495.33855452063
1201,PED,1.00kT,20然,coeff5,442173.9364353252
1202,PED,1.00kT,40然,coeff5,1052549.1199730337
1203,PED,1.00kT,60然,coeff5,33232641.09628114
1204,PED,2.80kT,10然,coeff5,1199395.6508221936
1205,PED,2.80kT,20然,coeff5,1700316.8574208897
1206,PED,2.80kT,40然,coeff5,187968.42882974388
1207,PED,2.80kT,60然,coeff5,196460.47318468435
1208,PED,3.00kT,10然,coeff5,28413.73602539721
1209,PED,3.00kT,20然,coeff5,59488.29538398217
1210,PED,3.00kT,40然,coeff5,1963254.5748599968
1211,PED,3.00kT,60然,coeff5,36879.27030424441
1212,PED,3.50kT,10然,coeff5,11167.306530164498
1213,PED,3.50kT,20然,coeff5,6780.052521702583
1214,PED,3.50kT,40然,coeff5,2431.8038762044102
1215,PED,3.50kT,60然,coeff5,9077.802885841827
1216,PED,4.00kT,10然,coeff5,140.96322116450105
1217,PED,4.00kT,20然,coeff5,1550.2779476327207
1218,PED,4.00kT,40然,coeff5,923.109129507972
1219,PED,4.00kT,60然,coeff5,491.3523149573939
1340,PED,1.00kT,10然,tau5,2.4010107633568176
1341,PED,1.00kT,20然,tau5,2.3656734479110755
1342,PED,1.00kT,40然,tau5,2.3854622418012594
1343,PED,1.00kT,60然,tau5,2.1496858754220907
1344,PED,2.80kT,10然,tau5,2.1829193021917317
1345,PED,2.80kT,20然,tau5,2.1708836730467205
1346,PED,2.80kT,40然,tau5,3.3106435356211006
1347,PED,2.80kT,60然,tau5,3.1892825754104837
1348,PED,3.00kT,10然,tau5,3.6573219852779566
1349,PED,3.00kT,20然,tau5,3.8554064934799905
1350,PED,3.00kT,40然,tau5,2.1644864210348698
1351,PED,3.00kT,60然,tau5,2.9797032683725377
1352,PED,3.50kT,10然,tau5,3.731202588774684
1353,PED,3.50kT,20然,tau5,3.5213089667894026
1354,PED,3.50kT,40然,tau5,3.3378751655762713
1355,PED,3.50kT,60然,tau5,4.694471509890857
1356,PED,4.00kT,10然,tau5,3.2388083770583
1357,PED,4.00kT,20然,tau5,2.6058218250608154
1358,PED,4.00kT,40然,tau5,8.990277199657454
1359,PED,4.00kT,60然,tau5,3.24789554790228
