,equation,energy,concentration,exponent,value
102,Powerlaw,1.00kT,40然,coeff1,538606.7494015164
103,Powerlaw,1.00kT,60然,coeff1,855183.2960189263
104,Powerlaw,2.80kT,10然,coeff1,177159.35014910638
105,Powerlaw,2.80kT,20然,coeff1,284850.34351798735
106,Powerlaw,2.80kT,40然,coeff1,429398.2320911885
107,Powerlaw,2.80kT,60然,coeff1,585014.632747055
108,Powerlaw,3.00kT,10然,coeff1,153434.8164080312
109,Powerlaw,3.00kT,20然,coeff1,237330.40381757068
110,Powerlaw,3.00kT,40然,coeff1,309818.3144857505
111,Powerlaw,3.00kT,60然,coeff1,351757.2037571158
112,Powerlaw,3.50kT,10然,coeff1,67339.11136870192
113,Powerlaw,3.50kT,20然,coeff1,40322.63653880718
114,Powerlaw,3.50kT,40然,coeff1,37981.38750709624
115,Powerlaw,3.50kT,60然,coeff1,40522.77745429476
116,Powerlaw,4.00kT,10然,coeff1,3910.578589793393
117,Powerlaw,4.00kT,20然,coeff1,4218.80555315048
118,Powerlaw,4.00kT,40然,coeff1,3422.2702668471447
119,Powerlaw,4.00kT,60然,coeff1,3551.957442463944
120,ERFC,1.00kT,10然,coeff1,221193.8135646901
121,ERFC,1.00kT,20然,coeff1,401137.6531019221
122,ERFC,1.00kT,40然,coeff1,983634.301358132
123,ERFC,1.00kT,60然,coeff1,1364496.7060820204
124,ERFC,2.80kT,10然,coeff1,348714.3133851662
125,ERFC,2.80kT,20然,coeff1,410595.2423146717
126,ERFC,2.80kT,40然,coeff1,656164.8351899157
127,ERFC,2.80kT,60然,coeff1,819105.6243632172
128,ERFC,3.00kT,10然,coeff1,210874.3061096269
129,ERFC,3.00kT,20然,coeff1,402618.08681495045
130,ERFC,3.00kT,40然,coeff1,385577.1874392933
131,ERFC,3.00kT,60然,coeff1,416239.7717920648
132,ERFC,3.50kT,10然,coeff1,73834.47038571605
133,ERFC,3.50kT,20然,coeff1,41326.69715407652
134,ERFC,3.50kT,40然,coeff1,35623.23509202426
135,ERFC,3.50kT,60然,coeff1,34608.66692033604
136,ERFC,4.00kT,10然,coeff1,3296.073590526579
137,ERFC,4.00kT,20然,coeff1,3395.466920598916
138,ERFC,4.00kT,40然,coeff1,3692.927422765848
139,ERFC,4.00kT,60然,coeff1,3559.851752440745
140,ED,1.00kT,10然,tau1,6.012693197348237
141,ED,1.00kT,20然,tau1,5.986220090299736
142,ED,1.00kT,40然,tau1,5.628684769420412
143,ED,1.00kT,60然,tau1,4.963029610292759
144,ED,2.80kT,10然,tau1,5.6914998457639765
145,ED,2.80kT,20然,tau1,5.805927227407199
146,ED,2.80kT,40然,tau1,5.904601868895922
147,ED,2.80kT,60然,tau1,5.927737516726928
148,ED,3.00kT,10然,tau1,6.314779480764921
149,ED,3.00kT,20然,tau1,6.587504169249865
150,ED,3.00kT,40然,tau1,7.138600601347623
151,ED,3.00kT,60然,tau1,7.684713418764104
152,ED,3.50kT,10然,tau1,9.685451279352616
153,ED,3.50kT,20然,tau1,10.814700741832265
154,ED,3.50kT,40然,tau1,12.89079080431679
155,ED,3.50kT,60然,tau1,15.905274448206454
156,ED,4.00kT,10然,tau1,20.486177036770638
157,ED,4.00kT,20然,tau1,22.474975434987478
158,ED,4.00kT,40然,tau1,42.67874115249104
159,ED,4.00kT,60然,tau1,45.23060591309722
160,DED,1.00kT,10然,tau1,7.000989046258847
161,DED,1.00kT,20然,tau1,7.345586430006281
162,DED,1.00kT,40然,tau1,7.658680033062011
163,DED,1.00kT,60然,tau1,7.511873327975912
164,DED,2.80kT,10然,tau1,3.961420291376498
165,DED,2.80kT,20然,tau1,10.21620525720763
166,DED,2.80kT,40然,tau1,13.373778320830183
167,DED,2.80kT,60然,tau1,4.236926538881657
168,DED,3.00kT,10然,tau1,8.630401460700678
169,DED,3.00kT,20然,tau1,4.6514651239326135
170,DED,3.00kT,40然,tau1,15.772473702387336
171,DED,3.00kT,60然,tau1,17.606693699335814
172,DED,3.50kT,10然,tau1,5.791589271662949
173,DED,3.50kT,20然,tau1,26.534138257685765
174,DED,3.50kT,40然,tau1,35.98130228840332
175,DED,3.50kT,60然,tau1,8.41421656576695
176,DED,4.00kT,10然,tau1,12.675787156044906
177,DED,4.00kT,20然,tau1,13.2678061441681
178,DED,4.00kT,40然,tau1,88.997292555785
179,DED,4.00kT,60然,tau1,15.336228022346605
180,TED,1.00kT,10然,tau1,10.011911608456293
181,TED,1.00kT,20然,tau1,10.416506735731717
182,TED,1.00kT,40然,tau1,10.857158358631283
183,TED,1.00kT,60然,tau1,10.301093793064776
184,TED,2.80kT,10然,tau1,9.607059651201066
185,TED,2.80kT,20然,tau1,14.438873197345425
186,TED,2.80kT,40然,tau1,17.548494594568517
187,TED,2.80kT,60然,tau1,17.751991211007557
188,TED,3.00kT,10然,tau1,11.754297412434797
189,TED,3.00kT,20然,tau1,16.457174420585474
190,TED,3.00kT,40然,tau1,20.11310892895323
191,TED,3.00kT,60然,tau1,21.22943735284101
192,TED,3.50kT,10然,tau1,17.64831167482495
193,TED,3.50kT,20然,tau1,40.799964313763546
194,TED,3.50kT,40然,tau1,60.61710783738751
195,TED,3.50kT,60然,tau1,74.19312913562405
196,TED,4.00kT,10然,tau1,112.18770254277638
197,TED,4.00kT,20然,tau1,80.71020037624886
198,TED,4.00kT,40然,tau1,166.66701997897127
199,TED,4.00kT,60然,tau1,194.13989082932017
200,QED,1.00kT,10然,tau1,10.0119129375512
201,QED,1.00kT,20然,tau1,11.75680591581699
202,QED,1.00kT,40然,tau1,12.77524474066142
203,QED,1.00kT,60然,tau1,11.44314140782477
204,QED,2.80kT,10然,tau1,13.65053446957194
205,QED,2.80kT,20然,tau1,15.78011628092676
206,QED,2.80kT,40然,tau1,18.6630492419422
207,QED,2.80kT,60然,tau1,18.86431167600064
208,QED,3.00kT,10然,tau1,11.754304067674122
209,QED,3.00kT,20然,tau1,45.94759351272941
210,QED,3.00kT,40然,tau1,20.90027199572286
211,QED,3.00kT,60然,tau1,21.65316546566925
212,QED,3.50kT,10然,tau1,37.82655875622693
213,QED,3.50kT,20然,tau1,79.86523933291355
214,QED,3.50kT,40然,tau1,144.91764677204392
215,QED,3.50kT,60然,tau1,142.95121572677854
216,QED,4.00kT,10然,tau1,588.886981438612
217,QED,4.00kT,20然,tau1,157.9479648266844
218,QED,4.00kT,40然,tau1,511.48911921404
219,QED,4.00kT,60然,tau1,277.6301268870606
220,PED,1.00kT,10然,tau1,11.190482896481578
221,PED,1.00kT,20然,tau1,11.756784301272807
222,PED,1.00kT,40然,tau1,12.775106865906183
223,PED,1.00kT,60然,tau1,11.486316048181552
224,PED,2.80kT,10然,tau1,13.67207843080335
225,PED,2.80kT,20然,tau1,15.781988326965424
226,PED,2.80kT,40然,tau1,18.662851870894546
227,PED,2.80kT,60然,tau1,20.004229670575786
228,PED,3.00kT,10然,tau1,11.754506339747474
229,PED,3.00kT,20然,tau1,45.93162159568093
230,PED,3.00kT,40然,tau1,20.901403277127937
231,PED,3.00kT,60然,tau1,21.653213448202663
232,PED,3.50kT,10然,tau1,37.7295997176358
233,PED,3.50kT,20然,tau1,199.87117028459195
234,PED,3.50kT,40然,tau1,173.03363046910238
235,PED,3.50kT,60然,tau1,295.68162039175223
236,PED,4.00kT,10然,tau1,117.25799594107978
237,PED,4.00kT,20然,tau1,12.19111960247074
238,PED,4.00kT,40然,tau1,511.4744145388168
239,PED,4.00kT,60然,tau1,716.4822537408386
240,Powerlaw,1.00kT,10然,tau1,3.037045871296563
241,Powerlaw,1.00kT,20然,tau1,3.0229217170408758
242,Powerlaw,1.00kT,40然,tau1,2.9892707855462697
243,Powerlaw,1.00kT,60然,tau1,2.9279572250227464
244,Powerlaw,2.80kT,10然,tau1,3.012220912419113
245,Powerlaw,2.80kT,20然,tau1,3.022825329379077
246,Powerlaw,2.80kT,40然,tau1,3.0361042228401924
247,Powerlaw,2.80kT,60然,tau1,3.0421088308187367
248,Powerlaw,3.00kT,10然,tau1,3.062352510121161
249,Powerlaw,3.00kT,20然,tau1,3.0787339550982917
250,Powerlaw,3.00kT,40然,tau1,3.1181286844600358
251,Powerlaw,3.00kT,60然,tau1,3.1526956731206344
252,Powerlaw,3.50kT,10然,tau1,3.2624136132585546
253,Powerlaw,3.50kT,20然,tau1,3.299078392855865
254,Powerlaw,3.50kT,40然,tau1,3.3699173034351806
255,Powerlaw,3.50kT,60然,tau1,3.440595671533816
256,Powerlaw,4.00kT,10然,tau1,3.67678026247794
257,Powerlaw,4.00kT,20然,tau1,3.6776730346313764
258,Powerlaw,4.00kT,40然,tau1,3.966569821956641
259,Powerlaw,4.00kT,60然,tau1,3.994051071688197
260,ERFC,1.00kT,10然,tau1,12.86415380151372
261,ERFC,1.00kT,20然,tau1,12.821238157637504
262,ERFC,1.00kT,40然,tau1,1.8089035210570055
263,ERFC,1.00kT,60然,tau1,10.023286670343639
264,ERFC,2.80kT,10然,tau1,1.8192305437569545
265,ERFC,2.80kT,20然,tau1,12.394107604826358
266,ERFC,2.80kT,40然,tau1,1.7300357171344474
267,ERFC,2.80kT,60然,tau1,12.885899537793891
268,ERFC,3.00kT,10然,tau1,13.771440614413777
269,ERFC,3.00kT,20然,tau1,1.7503144811789255
270,ERFC,3.00kT,40然,tau1,16.348878148336787
271,ERFC,3.00kT,60然,tau1,18.02950680425047
272,ERFC,3.50kT,10然,tau1,23.45064127702256
273,ERFC,3.50kT,20然,tau1,26.977579809450678
274,ERFC,3.50kT,40然,tau1,33.42104642773524
275,ERFC,3.50kT,60然,tau1,42.64131914574978
276,ERFC,4.00kT,10然,tau1,55.67449252203623
277,ERFC,4.00kT,20然,tau1,61.47816475031504
278,ERFC,4.00kT,40然,tau1,-1.7259342102494921
279,ERFC,4.00kT,60然,tau1,-2.6094260784438337
300,DED,1.00kT,10然,coeff2,3.6261290346916324
301,DED,1.00kT,20然,coeff2,3.4122779331491384
302,DED,1.00kT,40然,coeff2,3.5106527126979583
303,DED,1.00kT,60然,coeff2,3.7121719668211424
304,DED,2.80kT,10然,coeff2,2.157649598159543
305,DED,2.80kT,20然,coeff2,2.4677974591169027
306,DED,2.80kT,40然,coeff2,2.449353409420662
307,DED,2.80kT,60然,coeff2,2.07858314759272
308,DED,3.00kT,10然,coeff2,2.44272594141192
309,DED,3.00kT,20然,coeff2,2.110768635752105
310,DED,3.00kT,40然,coeff2,2.3413966287720442
311,DED,3.00kT,60然,coeff2,2.339406376741008
312,DED,3.50kT,10然,coeff2,2.094609092146225
313,DED,3.50kT,20然,coeff2,2.1716114408201213
314,DED,3.50kT,40然,coeff2,2.163429194170284
315,DED,3.50kT,60然,coeff2,2.025833984965865
316,DED,4.00kT,10然,coeff2,2.021671408358738
317,DED,4.00kT,20然,coeff2,2.0180269253793117
318,DED,4.00kT,40然,coeff2,2.0743239057831397
319,DED,4.00kT,60然,coeff2,2.010388565729779
320,TED,1.00kT,10然,coeff2,114589.70501913164
321,TED,1.00kT,20然,coeff2,191885.13478231968
322,TED,1.00kT,40然,coeff2,318595.7753964325
323,TED,1.00kT,60然,coeff2,440869.69530723005
324,TED,2.80kT,10然,coeff2,137491.4510421325
325,TED,2.80kT,20然,coeff2,155747.7335065058
326,TED,2.80kT,40然,coeff2,195783.6796727926
327,TED,2.80kT,60然,coeff2,281143.13400217635
328,TED,3.00kT,10然,coeff2,98204.2102272356
329,TED,3.00kT,20然,coeff2,137205.90874484048
330,TED,3.00kT,40然,coeff2,164482.88931434255
331,TED,3.00kT,60然,coeff2,169576.87587523123
332,TED,3.50kT,10然,coeff2,43362.58210812407
333,TED,3.50kT,20然,coeff2,25723.49691016247
334,TED,3.50kT,40然,coeff2,13490.138551868264
335,TED,3.50kT,60然,coeff2,12851.179744812023
336,TED,4.00kT,10然,coeff2,1915.043622879513
337,TED,4.00kT,20然,coeff2,2389.01605834499
338,TED,4.00kT,40然,coeff2,1140.1063845166982
339,TED,4.00kT,60然,coeff2,1048.5608517519777
340,QED,1.00kT,10然,coeff2,114589.71735445024
341,QED,1.00kT,20然,coeff2,164428.37683016967
342,QED,1.00kT,40然,coeff2,157155.54435342964
343,QED,1.00kT,60然,coeff2,322938.8428019875
344,QED,2.80kT,10然,coeff2,80022.2793753149
345,QED,2.80kT,20然,coeff2,123322.358692361
346,QED,2.80kT,40然,coeff2,99873.97444281763
347,QED,2.80kT,60然,coeff2,85973.60246136045
348,QED,3.00kT,10然,coeff2,69049.7420883946
349,QED,3.00kT,20然,coeff2,24827.490182119007
350,QED,3.00kT,40然,coeff2,123068.76344093178
351,QED,3.00kT,60然,coeff2,127281.24419864008
352,QED,3.50kT,10然,coeff2,16153.639090499211
353,QED,3.50kT,20然,coeff2,5307.447046868932
354,QED,3.50kT,40然,coeff2,5279.843010626435
355,QED,3.50kT,60然,coeff2,7630.3598653987965
356,QED,4.00kT,10然,coeff2,215.10107861547488
357,QED,4.00kT,20然,coeff2,1308.6856472891504
358,QED,4.00kT,40然,coeff2,465.46998253563777
359,QED,4.00kT,60然,coeff2,921.9717711758176
360,PED,1.00kT,10然,coeff2,51043.85105827893
361,PED,1.00kT,20然,coeff2,164428.65161298134
362,PED,1.00kT,40然,coeff2,157161.88690076824
363,PED,1.00kT,60然,coeff2,311094.8706531488
364,PED,2.80kT,10然,coeff2,79882.81369624805
365,PED,2.80kT,20然,coeff2,123259.9968542285
366,PED,2.80kT,40然,coeff2,99891.71659782538
367,PED,2.80kT,60然,coeff2,41932.00431619486
368,PED,3.00kT,10然,coeff2,49104.59616632994
369,PED,3.00kT,20然,coeff2,24827.590224241907
370,PED,3.00kT,40然,coeff2,122992.24392410442
371,PED,3.00kT,60然,coeff2,127274.12495752829
372,PED,3.50kT,10然,coeff2,16178.563863058896
373,PED,3.50kT,20然,coeff2,1780.8299100078743
374,PED,3.50kT,40然,coeff2,4402.54342122449
375,PED,3.50kT,60然,coeff2,1348.686696085759
376,PED,4.00kT,10然,coeff2,913.8596113664504
377,PED,4.00kT,20然,coeff2,167.13106895458128
378,PED,4.00kT,40然,coeff2,465.4787073221874
379,PED,4.00kT,60然,coeff2,305.74193171094737
440,DED,1.00kT,10然,tau2,2.0000051689918017
441,DED,1.00kT,20然,tau2,2.0000028249758657
442,DED,1.00kT,40然,tau2,2.0000010165448407
443,DED,1.00kT,60然,tau2,2.000000429726067
444,DED,2.80kT,10然,tau2,2.000012743847889
445,DED,2.80kT,20然,tau2,2.0000036002601087
446,DED,2.80kT,40然,tau2,2.000002180307869
