uniform_250,uniform_350,gaus_250,gaus_350,3.50_60
0,20,0,22,29
0,27,0,33,19
0,20,0,31,26
0,24,0,33,29
0,30,0,33,32
0,18,0,28,31
0,16,0,24,24
0,25,0,24,25
0,19,0,26,22
0,21,0,29,32
0,30,0,26,35
0,25,0,24,25
0,21,0,33,24
0,27,0,35,34
0,25,0,38,36
0,19,0,31,19
0,27,0,31,30
0,23,0,22,26
0,29,0,28,28
0,20,0,27,20
0,20,0,31,22
0,15,0,34,30
0,23,0,26,26
0,18,0,25,22
0,32,0,29,32
0,23,0,20,21
0,26,0,26,28
0,14,0,23,27
0,26,0,16,14
0,19,0,18,36
0,23,0,23,23
0,17,0,26,24
0,11,0,25,24
0,14,0,14,25
0,21,0,22,27
0,18,0,20,27
0,16,0,25,18
0,17,0,23,16
0,26,0,27,25
0,21,0,32,31
0,11,0,26,24
0,19,0,20,20
0,16,0,25,22
0,25,0,23,19
0,22,0,18,21
0,18,0,18,20
0,18,0,25,28
0,28,0,29,20
0,14,0,24,18
0,19,0,23,35
0,17,0,16,24
0,19,0,29,31
0,20,0,33,17
0,25,0,23,17
0,14,0,22,23
0,22,0,20,23
0,14,0,25,19
0,21,0,36,20
0,7,0,26,30
0,18,0,18,21
0,21,0,17,20
0,15,0,18,23
0,19,0,23,19
0,22,0,27,19
0,15,0,26,28
0,11,0,28,28
0,21,0,21,23
0,15,0,26,22
0,15,0,19,29
0,16,0,24,25
0,18,0,27,17
0,11,0,18,15
0,21,0,16,23
0,24,0,18,22
0,21,0,30,24
0,21,0,27,21
0,18,0,31,18
0,19,0,26,21
0,14,0,21,22
0,20,0,28,20
0,12,0,17,28
0,14,0,28,25
0,18,0,23,24
0,21,0,21,20
0,18,0,23,14
0,13,0,18,17
0,14,0,14,17
0,8,0,28,27
0,16,0,11,26
0,13,0,19,21
0,19,0,19,20
0,18,0,18,24
0,11,0,20,20
0,18,0,20,13
0,14,0,21,21
0,17,0,18,20
0,18,0,23,27
0,21,0,22,17
0,17,0,23,14
0,19,0,17,22
0,27,0,24,19
0,11,0,8,16
0,10,0,18,25
0,17,0,19,22
0,10,0,22,13
0,19,0,14,28
0,12,0,28,15
0,17,0,16,31
0,8,0,17,19
0,12,0,21,20
0,10,0,16,19
0,14,0,13,12
0,16,0,22,16
0,18,0,13,13
0,9,0,13,22
0,18,0,26,12
0,18,0,17,21
0,12,0,22,23
0,18,0,18,17
0,16,0,11,12
0,18,0,19,24
0,12,0,23,11
0,12,0,24,25
0,13,0,12,13
0,16,0,20,19
0,14,0,21,12
0,13,0,18,25
0,20,0,14,15
0,10,0,15,21
0,15,0,19,15
0,10,0,31,18
0,10,0,18,15
0,20,0,24,15
0,14,0,23,20
0,9,0,16,23
0,8,0,18,15
0,10,0,14,12
0,19,0,17,19
0,19,0,23,15
0,12,0,10,16
0,11,0,18,22
0,17,0,12,7
0,18,0,15,12
0,11,0,18,23
0,14,0,15,17
0,13,0,22,22
0,11,0,15,17
0,15,0,10,14
0,20,0,25,16
0,7,0,19,23
0,14,0,12,22
0,8,0,16,19
0,17,0,24,10
0,8,0,12,16
0,10,0,16,18
0,12,0,13,26
0,15,0,13,19
0,10,0,20,14
0,7,0,17,15
0,16,0,13,18
0,10,0,16,19
0,14,0,25,15
0,16,0,12,13
0,15,0,8,17
0,15,0,15,15
0,9,0,19,22
0,11,0,17,11
0,4,0,14,18
0,13,0,12,16
0,16,0,17,14
0,11,0,13,16
0,11,0,21,17
0,7,0,11,15
0,11,0,13,19
0,14,0,13,11
0,10,0,17,16
0,17,0,15,23
0,15,0,13,19
0,9,0,12,9
0,10,0,19,15
0,8,0,21,11
0,10,0,10,17
0,15,0,3,13
0,12,0,13,18
0,12,0,19,13
0,10,0,11,17
0,8,0,19,24
0,15,0,12,15
0,8,0,6,14
0,13,0,12,18
0,13,0,17,16
0,10,0,14,12
0,16,0,13,13
0,12,0,10,19
0,10,0,7,10
0,14,0,20,15
0,12,0,22,16
0,5,0,13,15
0,4,0,16,24
0,10,0,13,11
0,11,0,13,15
0,11,0,14,17
0,12,0,14,17
0,11,0,26,14
0,10,0,13,14
0,11,0,21,14
0,7,0,14,13
0,12,0,15,14
0,17,0,12,11
0,8,0,16,12
0,11,0,14,14
0,12,0,12,13
0,10,0,12,10
0,9,0,16,11
0,5,0,16,12
0,12,0,20,4
0,5,0,13,8
0,10,0,16,12
0,13,0,11,14
0,6,0,10,12
0,11,0,11,15
0,9,0,18,17
0,9,0,13,15
0,10,0,16,6
0,12,0,10,11
0,10,0,12,13
0,9,0,10,13
0,7,0,9,9
0,9,0,16,13
0,9,0,14,11
0,10,0,11,12
0,8,0,10,11
0,13,0,14,16
0,11,0,12,7
0,6,0,14,11
0,10,0,14,10
0,15,0,16,10
0,20,0,12,13
0,10,0,12,16
0,11,0,16,11
0,14,0,13,8
0,10,0,12,15
0,7,0,17,13
0,9,0,7,13
0,5,0,11,17
0,9,0,8,7
0,13,0,9,8
0,7,0,8,9
0,6,0,13,12
0,10,0,10,8
0,9,0,13,10
0,11,0,8,12
0,11,0,8,10
0,7,0,14,10
0,8,0,12,16
0,10,0,13,11
0,11,0,8,13
0,9,0,8,4
0,6,0,13,11
0,11,0,13,8
